23,Strategies,O
23,to,O
23,deal,O
23,with,O
23,the,O
23,COVID,O
23,‐,O
23,19,NUMBER
23,pandemic,O
23,.,O
23,Braz,PERSON
23,Oral,PERSON
23,Res,PERSON
23,.,O
23,2020,DATE
23,;,O
23,34,NUMBER
23,:,O
23,e068,O
23,.,O
23,Where,O
23,is,O
23,read,O
23,:,O
23,Paulo,O
23,NADANOVSKY,O
23,(,O
23,a,O
23,),O
23,Ana,PERSON
23,Paula,PERSON
23,Pires,PERSON
23,dos,O
23,SANTOS,O
23,(,O
23,a,O
23,),O
23,Universidade,O
23,do,O
23,Estado,O
23,do,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,UERJ,LOCATION
23,.,O
23,Faculdade,ORGANIZATION
23,de,ORGANIZATION
23,Departamento,ORGANIZATION
23,de,ORGANIZATION
23,Odontologia,ORGANIZATION
23,Preventiva,ORGANIZATION
23,e,O
23,Comunitria,O
23,.,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,.,O
23,RJ,LOCATION
23,.,O
23,Brasil,LOCATION
23,.,O
23,It,O
23,should,O
23,read,O
23,:,O
23,Paulo,PERSON
23,NADANOVSKY,O
23,(,O
23,a,O
23,.,O
23,b,O
23,),O
23,Ana,PERSON
23,Paula,PERSON
23,Pires,PERSON
23,dos,O
23,SANTOS,O
23,(,O
23,c,O
23,),O
23,Fundao,PERSON
23,Oswaldo,PERSON
23,Cruz,PERSON
23,Fiocruz,O
23,.,O
23,Escola,ORGANIZATION
23,Nacional,ORGANIZATION
23,de,ORGANIZATION
23,Sade,ORGANIZATION
23,Pblica,ORGANIZATION
23,.,O
23,Departamento,O
23,de,O
23,Epidemi,O
23,‐,O
23,ologia,O
23,e,O
23,Mtodos,PERSON
23,Quantitativos,PERSON
23,em,O
23,Sade,O
23,.,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,.,O
23,RJ,O
23,.,O
23,Brazil,COUNTRY
23,.,O
23,Universidade,O
23,do,O
23,Estado,O
23,do,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,UERJ,LOCATION
23,.,O
23,Institu,O
23,‐,O
23,to,O
23,de,O
23,Medicina,ORGANIZATION
23,Social,ORGANIZATION
23,.,O
23,Departamento,O
23,de,O
23,Epidemiologia,O
23,.,O
23,Rio,LOCATION
23,de,LOCATION
23,Janeiro,PERSON
23,.,O
23,RJ,PERSON
23,.,O
23,Brazil,COUNTRY
23,.,O
23,Universidade,O
23,do,O
23,Estado,O
23,do,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,UERJ,ORGANIZATION
23,.,O
23,Faculdade,PERSON
23,de,PERSON
23,Odontologia,PERSON
23,.,O
23,Departamento,O
23,de,O
23,Odontologia,O
23,Pre,O
23,‐,O
23,ventiva,O
23,e,O
23,Comunitria,O
23,.,O
23,Rio,CITY
23,de,CITY
23,Janeiro,CITY
23,.,O
23,RJ,LOCATION
23,.,O
23,Brazil,COUNTRY
23,.,O
23,Braz,PERSON
23,.,O
23,Oral,O
23,Res,O
23,.,O
23,2020,DATE
23,;,O
23,34,NUMBER
23,:,O
23,e068err,O
