30,Immune,O
30,Response,O
30,.,O
30,Inflammation,O
30,.,O
30,and,O
30,the,O
30,Clinical,O
30,Spectrum,O
30,of,O
30,Luis,PERSON
30,F.,PERSON
30,Garca,PERSON
30,*,O
30,Grupo,ORGANIZATION
30,de,ORGANIZATION
30,Inmunologa,ORGANIZATION
30,Celular,ORGANIZATION
30,e,O
30,Inmunogentica,LOCATION
30,.,O
30,Facultad,PERSON
30,de,PERSON
30,Medicina,PERSON
30,.,O
30,Sede,ORGANIZATION
30,de,ORGANIZATION
30,Investigacin,ORGANIZATION
30,Universitaria,ORGANIZATION
30,.,O
30,Universidad,O
30,de,O
30,Antioquia,CITY
30,.,O
30,Medelln,O
30,.,O
30,Colombia,COUNTRY
30,Edited,O
30,by,O
30,:,O
30,Lucia,PERSON
30,Lopalco,PERSON
30,.,O
30,San,O
30,Raf,O
30,‐,O
30,faele,O
30,Hospital,O
30,(,O
30,IRCCS,O
30,),O
30,.,O
30,Italy,COUNTRY
30,Morgane,PERSON
30,Bomsel,PERSON
30,.,O
30,Institut,ORGANIZATION
30,National,ORGANIZATION
30,de,O
30,la,O
30,Sant,PERSON
30,et,O
30,de,O
30,la,O
30,Recherche,O
30,Mdicale,O
30,Laura,PERSON
30,Fantuzzi,PERSON
30,.,O
30,Istituto,PERSON
30,Superiore,O
30,di,O
30,Sanit,PERSON
30,(,O
30,ISS,O
30,),O
30,.,O
30,Italy,COUNTRY
30,Luis,PERSON
30,F.,PERSON
30,Garca,PERSON
30,Specialty,O
30,section,O
30,:,O
30,Viral,O
30,Immunology,O
30,.,O
30,Frontiers,O
30,in,O
30,Immunology,O
30,Garca,O
30,LF,O
30,(,O
30,2020,DATE
30,),O
30,Immune,O
30,Response,O
30,.,O
30,Inflammation,O
30,.,O
30,and,O
30,the,O
30,Clinical,O
30,Spectrum,O
30,of,O
30,COVID,O
30,‐,O
30,19,NUMBER
30,.,O
30,Front,O
30,.,O
30,Immunol,O
30,.,O
30,11:1441,NUMBER
30,.,O
30,The,O
30,current,DATE
30,COVID,O
30,‐,O
30,19,NUMBER
30,pandemic,O
30,began,O
30,in,O
30,December,DATE
30,2019,DATE
30,in,O
30,Wuhan,CITY
30,(,O
30,China,COUNTRY
30,),O
30,and,O
30,rapidly,O
30,extended,O
30,to,O
30,become,O
30,a,O
30,global,O
30,sanitary,O
30,and,O
30,economic,O
